nondirect	 ¶ III ¶ D'ordinaire, Suzanne passait ses journées, par ce gai soleil, à courir dans le jardin après les papillons, à cueillir des bouquets pour la salle à manger, à arroser les fleurs, les salades et les plates-bandes rouges de fraises, avec le cocher, qui s'occupait de jardinage.
nondirect	 Elle était la joie de la maison, qu'elle emplissait de rires et de chansons.
nondirect	 ¶ Depuis deux jours elle avait voulu rester dans la chambre de sa mère, n'essayant même pas de se distraire avec ses jouets, ni d'habiller ses poupées, ni d'étudier sa leçon au piano.
nondirect	 ¶ M. Lacroix avait accompagné Henriette jusqu'à la villa, et il était monté avec elle.
nondirect	 ¶ Au salon, où il resta, elle dit d'une voix brève : ¶ 
directspeech	-- Ainsi, vous voulez parler à Suzanne ? Vous voulez l'interroger ?
directspeech	 Vous voulez l'interroger ?
directspeech	 ¶ -- Il le faut. Je dois arriver à la vérité, dans l'intérêt de la justice...
directspeech	 Je dois arriver à la vérité, dans l'intérêt de la justice...
directspeech	 ¶ -- Mais savez-vous bien que si mon mari, contre toute vraisemblance, était coupable, ce serait horrible ce que vous allez faire là... obliger une fille, une enfant, à accuser son père !...
directspeech	...
directspeech	 ¶ -- Ma joie serait grande de trouver monsieur Laroque innocent. Et si j'interroge votre fille, ce n'est pas dans l'espoir -- ce serait affreux, comme vous le dites -- qu'elle accusera son père, mais c'est avec le secret désir que sa déposition l'innocentera.
directspeech	 Et si j'interroge votre fille, ce n'est pas dans l'espoir -- ce serait affreux, comme vous le dites -- qu'elle accusera son père, mais c'est avec le secret désir que sa déposition l'innocentera.
nondirect	 ¶ Elle baissa la tête, découragée, et, lentement, se dirigea vers sa chambre... ¶ Suzanne était là, debout, qui avait tout entendu.
nondirect	 Elle tendit les bras à sa mère.
nondirect	 Celle-ci la serra contre sa poitrine, dans une étreinte convulsive.
nondirect	 Et, en la couvrant de baisers, elle lui redit encore tout bas, à l'oreille : ¶ 
directspeech	-- Souviens-toi !... Souviens-toi !...
directspeech	... Souviens-toi !...
directspeech	...
nondirect	 ¶ Elles rentrèrent toutes deux au salon.
directspeech	 ¶ -- Va,
directspeech	 dit la mère à l'enfant, en lui montrant le commissaire, va auprès de ce monsieur, qui veut te parler, et réponds bien à ce qu'il te demandera.
nondirect	 ¶ Suzanne avança sans timidité et vint se placer entre les genoux de M. Lacroix, qui l'entoura de ses bras et lui mit un baiser sur le front.
directspeech	 ¶ -- Elle ne dira rien. Elle a sa leçon faite...
directspeech	 Elle a sa leçon faite...
nondirect	 murmura le magistrat.
directspeech	 ¶ -- Te rappelles-tu ce que tu as fait avant-hier soir, ma chère petite ?
nondirect	 ¶ L'enfant réfléchit un peu ; elle était fort pâle et avait les yeux très fatigués ; mais son attitude ne marquait aucune timidité, aucune irrésolution.
nondirect	 Elle répondit d'une voix ferme : ¶ 
directspeech	-- Mais oui, monsieur, je me rappelle parfaitement.
directspeech	 ¶ -- Et veux-tu me dire ce que tu as fait ?
