nondirect	 Un tombereau de choux et un tombereau de pois, au pont de Neuilly, s’étaient joints aux huit voitures de navets et de carottes qui descendaient de Nanterre ; et les chevaux allaient tout seuls, la tête basse, de leur allure continue et paresseuse, que la montée ralentissait encore.
nondirect	 En haut, sur la charge des légumes, allongés à plat ventre, couverts de leur limousine à petites raies noires et grises, les charretiers sommeillaient, les guides aux poignets.
nondirect	 Un bec de gaz, au sortir d’une nappe d’ombre, éclairait les clous d’un soulier, la manche bleue d’une blouse, le bout d’une casquette, entrevus dans cette floraison énorme des bouquets rouges des carottes, des bouquets blancs des navets, des verdures débordantes des pois et des choux.
nondirect	 Et, sur la route, sur les routes voisines, en avant et en arrière, des ronflements lointains de charrois annonçaient des convois pareils, tout un arrivage traversant les ténèbres et le gros sommeil de deux heures du matin, berçant la ville noire du bruit de cette nourriture qui passait.
nondirect	 ¶ Balthazar, le cheval de madame François, une bête trop grasse, tenait la tête de la file.
nondirect	 Il marchait, dormant à demi, dodelinant des oreilles, lorsque, à la hauteur de la rue de Longchamp, un sursaut de peur le planta net sur ses quatre pieds.
nondirect	 Les autres bêtes vinrent donner de la tête contre le cul des voitures, et la file s’arrêta, avec la secousse des ferrailles, au milieu des jurements des charretiers réveillés.
nondirect	 Madame François, adossée à une planchette contre ses légumes, regardait, ne voyait rien, dans la maigre lueur jetée à gauche par la petite lanterne carrée, qui n’éclairait guère qu’un des flancs luisants de Balthazar.
directspeech	 ¶ -- Eh ! la mère, avançons !
directspeech	 la mère, avançons !
directspeech	 cria un des hommes, qui s’était mis à genoux sur ses navets… C’est quelque cochon d’ivrogne.
nondirect	 ¶ Elle s’était penchée, elle avait aperçu, à droite, presque sous les pieds du cheval, une masse noire qui barrait la route.
directspeech	 ¶ -- On n’écrase pas le monde
nondirect	, dit-elle, en sautant à terre.
nondirect	 ¶ C’était un homme vautré tout de son long, les bras étendus, tombé la face dans la poussière.
nondirect	 Il paraissait d’une longueur extraordinaire, maigre comme une branche sèche ; le miracle était que Balthazar ne l’eût pas cassé en deux d’un coup de sabot.
nondirect	 Madame François le crut mort ; elle s’accroupit devant lui, lui prit une main, et vit qu’elle était chaude.
directspeech	 ¶ -- Eh ! l’homme !
directspeech	 l’homme !
nondirect	 dit-elle doucement.
nondirect	 ¶ Mais les charretiers s’impatientaient.
nondirect	 Celui qui était agenouillé dans ses légumes reprit de sa voix enrouée : ¶ 
directspeech	-- Fouettez donc, la mère !… Il en a plein son sac, le sacré porc ! Poussez-moi ça dans le ruisseau !
directspeech	… Il en a plein son sac, le sacré porc ! Poussez-moi ça dans le ruisseau !
directspeech	 Poussez-moi ça dans le ruisseau !
nondirect	 ¶ Cependant, l’homme avait ouvert les yeux.
nondirect	 Il regardait madame François d’un air effaré, sans bouger.
