Magnanime	Ag	MAGNANIME
Darie	Vvc	Darie
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
brave	Ag	BRAVE
Artaxerce	Vvc	Artaxerce
,	Fw	,
Race	Vvc	Race
du	S+Da	DE+LE
grand	Ag	GRAND
Cyrus	Nc	Cyrus
,	Fw	,
et	Cc	ET
l'	Da	LE
honneur	Nc	HONNEUR
de	S	DE
la	Da	LE
Perse	Nc	PERSE
,	Fw	,
D'	Nc	D'
un	Dn	UN
père	Nc	PÈRE
trop	Rg	TROP
barbare	Ag	BARBARE
,	Fw	,
enfants	Nc	ENFANT
trop	Rg	TROP
généreux	Ag	GÉNÉREUX
,	Fw	,
Qui	Vvc	Qui
méritez	Vvc	MÉRITER
d'	S	DE
avoir	Vun	AVOIR
un	Dn	UN
destin	Nc	DESTIN
plus	Rg	PLUS
heureux	Ag	HEUREUX
;	Fw	;
Vous	Nc	Vous
qu'	Cs	QUE
en	S	EN
ses	Ds	SON
chastes	Ag	CHASTE
flancs	Nc	FLANC
a	Vuc	AVOIR
porté	Ge	PORTER
Rodogune	Nc	Rodogune
Dignes	Vvc	Dignes
d'	S	DE
un	Dn	UN
autre	Ag	AUTRE
père	Nc	PÈRE
et	Cc	ET
d'	S	DE
une	Dn	UN
autre	Ag	AUTRE
Fortune	Nc	FORTUNE
.	Fs	.
Ah	I	AH
mes	Ds	MON
fils	Nc	FIL|FILS
!	Fs	!
Ah	I	AH
mon	Ds	MON
sang	Nc	SANG
!	Fs	!
Ah	I	AH
,	Fw	,
mon	Ds	MON
unique	Ag	UNIQUE
espoir	Nc	ESPOIR
!	Fs	!
Faut-il	Vvc	Faut-il
voir	Vvn	VOIR
obscurcir	Vvn	OBSCURCIR
l'	Da	LE
éclat	Nc	ÉCLAT
de	S	DE
mon	Ds	MON
pouvoir	Nc	POUVOIR
.	Fs	.
Hydaspe	Nc	Hydaspe
est	Vuc	ÊTRE
sans	S	SANS
honneur	Nc	HONNEUR
;	Fw	;
oui	Ge	OUÏR
sa	Ds	SON
gloire	Nc	GLOIRE
est	Vuc	ÊTRE
ternie	Ge	TERNIR
,	Fw	,
Et	Vvc	Et
la	Da	LE
Perse	Nc	PERSE
reçoit	Vvc	RECEVOIR
des	S+Da	DE+LE|DE+LES
Lois	Vvc	Lois
de	S	DE
l'	Da	LE
Arménie	Nc	Arménie
,	Fw	,
Tygranne	Vvc	Tygranne
voit	Vvc	VOIR
fleurir	Vvn	FLEURIR
ses	Ds	SON
tragiques	Ag	TRAGIQUE
projets	Nc	PROJET
,	Fw	,
Tous	Nc	TOUX
nos	Ds	NOTRE
fleuves	Nc	FLEUVE
sont	Vuc	ÊTRE
teints	Ge	TEINDRE
du	S+Da	DE+LE
sang	Nc	SANG
de	S	DE
nos	Ds	NOTRE
sujets	Nc	SUJET
,	Fw	,
Nos	Nc	NÔ
plus	Rg	PLUS
belles	Ag	BEAU
cités	Nc	CITÉ
d'	S	DE
habitants	Nc	HABITANT
sont	Vuc	ÊTRE
désertes	Ag	DÉSERT
Et	Vvc	Et
de	S	DE
moissons	Nc	MOISSON
de	S	DE
morts	Nc	MORT
les	Da	LE
plaines	Nc	PLAINE
sont	Vuc	ÊTRE
couvertes	Ge	COUVRIR
.	Fs	.
Madame	Nc	MADAME
,	Fw	,
modérez	Vvc	MODÉRER
cet	Dd	CE
excès	Nc	EXCÈS
de	S	DE
douleur	Nc	DOULEUR
,	Fw	,
N'	Vvc	N'
accusez	Vvc	ACCUSER
point	Rg	POINT
mon	Ds	MON
père	Nc	PÈRE
,	Fw	,
accusez	Vvc	ACCUSER
le	Da	LE
malheur	Nc	MALHEUR
;	Fw	;
Si	Vvc	Si
Bellone	Vvc	Bellone
en	S	EN
fureur	Nc	FUREUR
ravagea	Vvc	RAVAGER
cette	Dd	CE
terre	Nc	TERRE
,	Fw	,
La	Vvc	La
Paix	Nc	PAIX
éloignera	Vvc	ÉLOIGNER
les	Da	LE
maux	Nc	MAL
qu'	Pr	QUE
a	Vuc	AVOIR
fait	Ge	FAIRE
la	Da	LE
Guerre	Nc	GUERRE
.	Fs	.
Quoi	Pt	QUE|QUOI
que	Cs	QUE
la	Da	LE
Guerre	Nc	GUERRE
ait	Vuc	AVOIR
eu	Ge	AVOIR
de	S	DE
si	Rg	SI
sanglants	Ag	SANGLANT
effets	Nc	EFFET
,	Fw	,
J'	Vvc	J'
en	Pp	EN
ai	Vuc	AVOIR
bien	Rg	BIEN
moins	Rg	MOINS
d'	S	DE
horreur	Nc	HORREUR
que	Pr	QUE
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
de	S	DE
la	Da	LE
Paix	Nc	PAIX
,	Fw	,
Elle	Vvc	Elle
seule	Ag	SEUL
d'	S	DE
Hydaspe	Nc	Hydaspe
obscurcit	Vvc	OBSCURCIR
la	Da	LE
mémoire	Nc	MÉMOIRE
:	Fw	:
On	Pp	ON
ne	Rp	NE
perd	Vvc	PERDRE
pas	Rg	PAS
l'	Da	LE
honneur	Nc	HONNEUR
pour	S	POUR
perdre	Vvn	PERDRE
une	Dn	UN
victoire	Nc	VICTOIRE
.	Fs	.
Et	Cc	ET
l'	Da	LE
aveugle	Ag	AVEUGLE
Fortune	Nc	FORTUNE
avec	S	AVEC
Mars	Nc	MAR|MARS
combattant	Ag	COMBATTANT
,	Fw	,
La	Vvc	La
donne	Vvc	DONNER
au	S+Da	À+LE
plus	Rg	PLUS
heureux	Ag	HEUREUX
,	Fw	,
plutôt	Rg	PLUTÔT
qu'	Cs	QUE
au	S+Da	À+LE
plus	Rg	PLUS
vaillant	Ag	VAILLANT
:	Fw	:
Mon	Ds	MON
époux	Nc	ÉPOUX
la	Da	LE
perdant	Nc	PERDANT
conserva	Vvc	CONSERVER
mon	Ds	MON
estime	Nc	ESTIME
,	Fw	,
Il	Vvc	Il
était	Vuc	ÊTRE
malheureux	Ag	MALHEUREUX
,	Fw	,
mais	Cc	MAIS
il	Pp	IL
était	Vuc	ÊTRE
sans	S	SANS
crime	Nc	CRIME
;	Fw	;
Tout	Vvc	Tout
vaincu	Ge	VAINCRE
qu'	Cs	QUE
il	Pp	IL
était	Vuc	ÊTRE
,	Fw	,
je	Pp	JE
lui	Pp	IL
gardais	Vvc	GARDER
mon	Ds	MON
coeur	Nc	CUR
,	Fw	,
Ma	Vvc	Ma
haine	Nc	HAINE
seulement	Rg	SEULEMENT
était	Vuc	ÊTRE
pour	S	POUR
son	Ds	SON
vainqueur	Nc	VAINQUEUR
.	Fs	.
De	S	DE
ma	Ds	MON
foi	Nc	FOI
n'	Rp	NE
eut-il	V	eut-il
pas	Rg	PAS
une	Dn	UN
preuve	Nc	PREUVE
assez	Rg	ASSEZ
belle	Ag	BEAU
,	Fw	,
Lors	Nc	LORD
qu'	Pr	QUE
on	Pp	ON
vint	Vvc	VENIR
de	S	DE
sa	Ds	SON
mort	Nc	MORT
m'	Pp	JE
annoncer	Vvn	ANNONCER
la	Da	LE
nouvelle	Nc	NOUVEAU|NOUVELLE
,	Fw	,
Qu'	Vvc	Qu'
Arbas	Vvc	Arbas
en	Pp	EN
répandit	Vvc	RÉPANDRE
le	Da	LE
faux	Ag	FAUX
bruit	Nc	BRUIT
dans	S	DANS
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
,	Fw	,
Ma	Vvc	Ma
bouche	Nc	BOUCHE
de	S	DE
soupirs	Nc	SOUPIR
ne	Rp	NE
troubla	Vvc	TROUBLER
point	Rg	POINT
les	Da	LE
Cieux	Nc	CIEL|CIEUX
;	Fw	;
Je	Vvc	Je
ne	Rp	NE
m'	Pp	JE
amusai	Vvc	AMUSER
point	Rg	POINT
à	S	À
répandre	Vvn	RÉPANDRE
des	Dn	UN
larmes	Nc	LARME
,	Fw	,
J'	Vvc	J'
encourageai	Vvc	ENCOURAGER
les	Da	LE
miens	Ps	MIEN
,	Fw	,
je	Pp	JE
demandai	Vvc	DEMANDER
mes	Ds	MON
armes	Nc	ARME|ARMÉ
;	Fw	;
Et	Vvc	Et
quoi	Pt	QUE|QUOI
que	Cs	QUE
son	Ds	SON
trépas	Nc	TRÉPAS
mit	Vvc	METTRE
la	Da	LE
Perse	Nc	PERSE
en	S	EN
danger	Nc	DANGER
,	Fw	,
Au	Vvc	Au
lieu	Nc	LIEU
de	S	DE
pleurer	Vvn	PLEURER
,	Fw	,
j'	Pp	JE
allais	Vvc	ALLER
pour	S	POUR
le	Pp	IL
venger	Vvn	VENGER
,	Fw	,
J'	Vvc	J'
allais	Vvc	ALLER
de	S	DE
ce	Dd	CE
vainqueur	Nc	VAINQUEUR
forcer	Vvn	FORCER
les	Da	LE
destinées	Nc	DESTINÉE
,	Fw	,
Quand	Nc	Quand
celle	Pd	CELUI
qui	Pr	QUI
prit	Vvc	PRENDRE
soin	Nc	SOIN
de	S	DE
mes	Ds	MON
tendres	Ag	TENDRE
années	Nc	ANNÉE
,	Fw	,
