Divin	Ag	DIVIN
flambeau	Nc	FLAMBEAU
du	S+Da	DE+LE
Ciel	Nc	CIEL
dont	Pr	DONT
la	Da	LE
course	Nc	COURSE
diverse	Ag	DIVERS
Visite	Vvc	VISITER
l'	Da	LE
Indien	Nc	INDIEN
,	Fw	,
et	Cc	ET
le	Da	LE
Scythe	Nc	SCYTHE
,	Fw	,
et	Cc	ET
le	Pp	IL
Perse	Vvc	Perse
;	Fw	;
Qui	Vvc	Qui
portes	Vvc	PORTER
ta	Ds	TON
lumière	Nc	LUMIÈRE
en	S	EN
cent	Nc	CENT
climats	Nc	CLIMAT
divers	Ag	DIVERS
,	Fw	,
Et	Vvc	Et
qui	Pr	QUI
fais	Vvc	FAIRE
tous	Di	TOUT
les	Da	LE
jours	Nc	JOUR|JOURS
le	Da	LE
tour	Nc	TOUR
de	S	DE
l'	Da	LE
Univers	Nc	UNIVERS
:	Fw	:
ToI	Pp	TU
qui	Pr	QUI
de	S	DE
tous	Di	TOUT
les	Da	LE
Dieux	Nc	DIEU|DIEUX
sais	Vvc	SAVOIR
mieux	Rg	MIEUX
ce	Pd	CE
que	Pr	QUE
nous	Pp	NOUS
sommes	Vuc	ÊTRE
,	Fw	,
Qui	Vvc	Qui
peux	Vvc	POUVOIR
mieux	Rg	MIEUX
remarquer	Vvn	REMARQUER
l'	Da	LE
infortune	Nc	INFORTUNE
des	S+Da	DE+LE|DE+LES
hommes	Nc	HOMME
,	Fw	,
Qui	Vvc	Qui
connais	Vvc	CONNAÎTRE
leur	Ds	LEUR
misère	Nc	MISÈRE
,	Fw	,
et	Cc	ET
luis	Vvc	LUIRE
sur	S	SUR
leurs	Ds	LEUR
tombeaux	Nc	TOMBEAU
,	Fw	,
Et	Vvc	Et
d'	S	DE
horreur	Nc	HORREUR
tous	Di	TOUT
les	Da	LE
jours	Nc	JOUR|JOURS
t'	Pp	TU
en	Pp	EN
caches	Vvc	CACHER
sous	S	SOUS
les	Da	LE
eaux	Nc	EAU
,	Fw	,
Fus	Nc	Fus
-tu	Vvc	-tu
jamais	Rg	JAMAIS
touché	Ge	TOUCHER
d'	S	DE
une	Dn	UN
si	Rg	SI
juste	Ag	JUSTE
plainte	Nc	PLAINTE
?	Fs	?
J'	Pp	JE
ai	Vuc	AVOIR
vu	Ge	VOIR
dans	S	DANS
une	Dn	UN
nuit	Nc	NUIT
ma	Ds	MON
race	Nc	RACE
presque	Rg	PRESQUE
éteinte	Ge	ÉTEINDRE
;	Fw	;
Un	Vvc	Un
barbare	Ag	BARBARE
,	Fw	,
un	Dn	UN
tyran	Nc	TYRAN
de	S	DE
mon	Ds	MON
bonheur	Nc	BONHEUR
jaloux	Ag	JALOUX
,	Fw	,
M'	Vvc	M'
a	Vuc	AVOIR
ravi	Ge	RAVIR
mes	Ds	MON
enfants	Nc	ENFANT
,	Fw	,
et	Cc	ET
mon	Ds	MON
fidèle	Ag	FIDÈLE
époux	Nc	ÉPOUX
.	Fs	.
Par	S	PAR
une	Dn	UN
impiété	Nc	IMPIÉTÉ
qui	Pr	QUI
n'	Rp	NE
eut	Vuc	AVOIR
jamais	Rg	JAMAIS
d'	S	DE
exemple	Nc	EXEMPLE
,	Fw	,
Il	Vvc	Il
a	Vuc	AVOIR
tué	Ge	TUER
son	Ds	SON
Roi	Ag	Roi
jusques	Nc	jusques
dedans	Rg	DEDANS
un	Dn	UN
Temple	Nc	TEMPLE
,	Fw	,
Aux	Vvc	Aux
yeux	Nc	OEIL|YEUX
de	S	DE
son	Ds	SON
épouse	Nc	ÉPOUSE|ÉPOUX
et	Cc	ET
des	Dn	UN
Dieux	Ag	Dieux
immortels	Nc	IMMORTEL
Et	Vvc	Et
de	S	DE
ce	Dd	CE
sacré	Nc	SACRÉ
sang	Nc	SANG
fait	Vvc	FAIRE
rougir	Vvn	ROUGIR
