,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subsubgenre,form,decade
ne0005,ne0005,Galdos,male,Tristana,1892,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1890
ne0006,ne0006,Galdos,male,Angel,1891,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1890
ne0007,ne0007,Sawa,male,MujerMundo,1885,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1880
ne0008,ne0008,Zamacois,male,Enferma,1896,narrative,novel,Novela,free,erotic,novela,heterodiegetic,third-person,female,big-city,n.av.,prose,1890
ne0009,ne0009,Galdos,male,Desheredada,1881,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1880
ne0013,ne0013,Valle,male,SonataOtono,1902,narrative,novel,Memorias del Marqués de Bradomín,restricted,erotic,memoria,autodiegetic,first-person,male,rural,n.av.,prose,1900
ne0014,ne0014,Valle,male,SonataEstio,1903,narrative,novel,Memorias del Marqués de Bradomín,restricted,erotic,memoria,autodiegetic,first-person,male,rural,n.av.,prose,1900
ne0016,ne0016,Valle,male,SonataPrimavera,1904,narrative,novel,Memorias del Marqués de Bradomín,restricted,erotic,memoria,autodiegetic,first-person,male,rural,n.av.,prose,1900
ne0017,ne0017,Valle,male,FlordeSantidad,1904,narrative,novel,Historia milenaria,restricted,erotic,historia,heterodiegetic,third-person,female,rural,n.av.,prose,1900
ne0018,ne0018,Valle,male,SonataInvierno,1905,narrative,novel,Memorias del Marqués de Bradomín,restricted,erotic,memoria,autodiegetic,first-person,male,rural,n.av.,prose,1900
ne0024,ne0024,Galdos,male,Centeno,1883,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1880
ne0026,ne0026,Zamacois,male,Incesto,1900,narrative,novel,Novela original,free,erotic,novela,heterodiegetic,third-person,female,big-city,n.av.,prose,1900
ne0029,ne0029,Galdos,male,Prohibido,1884,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,first-person,male,big-city,n.av.,prose,1880
ne0040,ne0040,Miro,male,MujerOjeda,1901,narrative,novel,Ensayo de novela,free,erotic,ensayo de novela,homodiegetic,third-person,male,rural,n.av.,prose,1900
ne0043,ne0043,Miro,male,Nomada,1908,narrative,novel,De la falta de amor,free,bildungsroman,n.av.,heterodiegetic,third-person,male,rural,n.av.,prose,1900
ne0044,ne0044,Miro,male,Amigo,1908,narrative,novel,n.av.,free,bildungsroman,novela,homodiegetic,first-person,male,rural,n.av.,prose,1900
